election_code,election_date,territory_code,territory_name,territory_type,organ,subscribers,votes,voters_pct,abstention_pct,blank_votes,blank_pct,null_votes,null_pct,mandates_assigned,mandates_unassigned,mandates_total,state
AUT25,2025-10-12,0101,Águeda,Concelho,AM,41567,23815,57.29,42.71,694,2.91,316,1.33,21,0,21,Resultados Apurados
AUT25,2025-10-12,0102,Albergaria-a-Velha,Concelho,AM,22448,14286,63.64,36.36,271,1.9,195,1.36,21,0,21,Resultados Apurados
AUT25,2025-10-12,0103,Anadia,Concelho,AM,25454,14352,56.38,43.62,535,3.73,222,1.55,21,0,21,Resultados Apurados
AUT25,2025-10-12,0104,Arouca,Concelho,AM,19712,14348,72.79,27.209999999999994,272,1.9,155,1.08,21,0,21,Resultados Apurados
AUT25,2025-10-12,0105,Aveiro,Concelho,AM,70205,38731,55.17,44.83,1184,3.06,430,1.11,27,0,27,Resultados Apurados
AUT25,2025-10-12,0106,Castelo de Paiva,Concelho,AM,14025,11340,80.86,19.14,127,1.12,154,1.36,21,0,21,Resultados Apurados
AUT25,2025-10-12,0107,Espinho,Concelho,AM,29347,18411,62.74,37.26,467,2.54,321,1.74,21,0,21,Resultados Apurados
AUT25,2025-10-12,0108,Estarreja,Concelho,AM,24088,13395,55.61,44.39,251,1.87,211,1.58,21,0,21,Resultados Apurados
AUT25,2025-10-12,0109,Santa Maria da Feira,Concelho,AM,127123,79050,62.18,37.82,1829,2.31,1035,1.31,33,0,33,Resultados Apurados
AUT25,2025-10-12,0110,Ílhavo,Concelho,AM,36420,18413,50.56,49.44,486,2.64,213,1.16,21,0,21,Resultados Apurados
AUT25,2025-10-12,0111,Mealhada,Concelho,AM,17672,10486,59.34,40.66,275,2.62,125,1.19,21,0,21,Resultados Apurados
AUT25,2025-10-12,0112,Murtosa,Concelho,AM,10009,5422,54.17,45.83,114,2.1,56,1.03,15,0,15,Resultados Apurados
AUT25,2025-10-12,0113,Oliveira de Azeméis,Concelho,AM,61097,36573,59.86,40.14,829,2.27,464,1.27,27,0,27,Resultados Apurados
AUT25,2025-10-12,0114,Oliveira do Bairro,Concelho,AM,20932,11848,56.6,43.4,312,2.63,184,1.55,21,0,21,Resultados Apurados
AUT25,2025-10-12,0115,Ovar,Concelho,AM,51321,29302,57.1,42.9,792,2.7,419,1.43,27,0,27,Resultados Apurados
AUT25,2025-10-12,0116,São João da Madeira,Concelho,AM,19436,11255,57.91,42.09,229,2.03,106,0.94,21,0,21,Resultados Apurados
AUT25,2025-10-12,0117,Sever do Vouga,Concelho,AM,10139,7498,73.95,26.049999999999997,133,1.77,106,1.41,21,0,21,Resultados Apurados
AUT25,2025-10-12,0118,Vagos,Concelho,AM,22580,12741,56.43,43.57,305,2.39,202,1.59,21,0,21,Resultados Apurados
AUT25,2025-10-12,0119,Vale de Cambra,Concelho,AM,19714,13715,69.57,30.430000000000007,208,1.52,182,1.33,21,0,21,Resultados Apurados
AUT25,2025-10-12,0201,Aljustrel,Concelho,AM,7703,5482,71.17,28.83,75,1.37,57,1.04,15,0,15,Resultados Apurados
AUT25,2025-10-12,0202,Almodôvar,Concelho,AM,5975,4452,74.51,25.489999999999995,57,1.28,61,1.37,15,0,15,Resultados Apurados
AUT25,2025-10-12,0203,Alvito,Concelho,AM,1910,1439,75.34,24.659999999999997,21,1.46,25,1.74,15,0,15,Resultados Apurados
AUT25,2025-10-12,0204,Barrancos,Concelho,AM,1261,968,76.76,23.239999999999995,43,4.44,17,1.76,15,0,15,Resultados Apurados
AUT25,2025-10-12,0205,Beja,Concelho,AM,28345,17960,63.36,36.64,211,1.17,163,0.91,21,0,21,Resultados Apurados
AUT25,2025-10-12,0206,Castro Verde,Concelho,AM,6003,4108,68.43,31.569999999999993,62,1.51,34,0.83,15,0,15,Resultados Apurados
AUT25,2025-10-12,0207,Cuba,Concelho,AM,3618,2730,75.46,24.540000000000006,65,2.38,37,1.36,15,0,15,Resultados Apurados
AUT25,2025-10-12,0208,Ferreira do Alentejo,Concelho,AM,6135,4177,68.08,31.92,59,1.41,28,0.67,15,0,15,Resultados Apurados
AUT25,2025-10-12,0209,Mértola,Concelho,AM,5502,3937,71.56,28.439999999999998,129,3.28,72,1.83,15,0,15,Resultados Apurados
AUT25,2025-10-12,0210,Moura,Concelho,AM,11783,7224,61.31,38.69,117,1.62,82,1.14,21,0,21,Resultados Apurados
AUT25,2025-10-12,0211,Odemira,Concelho,AM,20252,12477,61.61,38.39,213,1.71,173,1.39,21,0,21,Resultados Apurados
AUT25,2025-10-12,0212,Ourique,Concelho,AM,4229,3249,76.83,23.17,47,1.45,47,1.45,15,0,15,Resultados Apurados
AUT25,2025-10-12,0213,Serpa,Concelho,AM,12137,7757,63.91,36.09,110,1.42,65,0.84,21,0,21,Resultados Apurados
AUT25,2025-10-12,0214,Vidigueira,Concelho,AM,4566,3196,70,30,47,1.47,35,1.1,15,0,15,Resultados Apurados
AUT25,2025-10-12,0301,Amares,Concelho,AM,17675,12811,72.48,27.519999999999996,268,2.09,132,1.03,21,0,21,Resultados Apurados
AUT25,2025-10-12,0302,Barcelos,Concelho,AM,106978,77470,72.42,27.58,1932,2.49,815,1.05,66,0,66,Resultados Apurados
AUT25,2025-10-12,0303,Braga,Concelho,AM,168147,107671,64.03,35.97,2147,1.99,979,0.91,38,0,38,Resultados Apurados
AUT25,2025-10-12,0304,Cabeceiras de Basto,Concelho,AM,16990,11796,69.43,30.569999999999993,146,1.24,118,1,21,0,21,Resultados Apurados
AUT25,2025-10-12,0305,Celorico de Basto,Concelho,AM,17309,11991,69.28,30.72,177,1.48,142,1.18,21,0,21,Resultados Apurados
AUT25,2025-10-12,0306,Esposende,Concelho,AM,33857,23553,69.57,30.430000000000007,414,1.76,236,1,21,0,21,Resultados Apurados
AUT25,2025-10-12,0307,Fafe,Concelho,AM,50111,31925,63.71,36.29,833,2.61,395,1.24,27,0,27,Resultados Apurados
AUT25,2025-10-12,0308,Guimarães,Concelho,AM,143580,100653,70.1,29.900000000000006,2000,1.99,762,0.76,56,0,56,Resultados Apurados
AUT25,2025-10-12,0309,Póvoa de Lanhoso,Concelho,AM,22177,16026,72.26,27.739999999999995,254,1.58,163,1.02,23,0,23,Resultados Apurados
AUT25,2025-10-12,0310,Terras de Bouro,Concelho,AM,6439,4679,72.67,27.33,131,2.8,47,1,15,0,15,Resultados Apurados
AUT25,2025-10-12,0311,Vieira do Minho,Concelho,AM,12189,9163,75.17,24.83,120,1.31,93,1.01,21,0,21,Resultados Apurados
AUT25,2025-10-12,0312,Vila Nova de Famalicão,Concelho,AM,121657,83568,68.69,31.310000000000002,1604,1.92,806,0.96,40,0,40,Resultados Apurados
AUT25,2025-10-12,0313,Vila Verde,Concelho,AM,45299,30162,66.58,33.42,965,3.2,346,1.15,34,0,34,Resultados Apurados
AUT25,2025-10-12,0314,Vizela,Concelho,AM,21944,15466,70.48,29.519999999999996,357,2.31,151,0.98,21,0,21,Resultados Apurados
AUT25,2025-10-12,0401,Alfândega da Fé,Concelho,AM,5187,3598,69.37,30.629999999999995,84,2.33,57,1.58,15,0,15,Resultados Apurados
AUT25,2025-10-12,0402,Bragança,Concelho,AM,34910,20928,59.95,40.05,355,1.7,385,1.84,40,0,40,Resultados Apurados
AUT25,2025-10-12,0403,Carrazeda de Ansiães,Concelho,AM,5779,3718,64.34,35.66,213,5.73,124,3.34,15,0,15,Resultados Apurados
AUT25,2025-10-12,0404,Freixo de Espada à Cinta,Concelho,AM,2981,2336,78.36,21.64,43,1.84,22,0.94,15,0,15,Resultados Apurados
AUT25,2025-10-12,0405,Macedo de Cavaleiros,Concelho,AM,17041,10499,61.61,38.39,173,1.65,161,1.53,31,0,31,Resultados Apurados
AUT25,2025-10-12,0406,Miranda do Douro,Concelho,AM,6960,4263,61.25,38.75,237,5.56,111,2.6,15,0,15,Resultados Apurados
AUT25,2025-10-12,0407,Mirandela,Concelho,AM,22354,14054,62.87,37.13,244,1.74,244,1.74,31,0,31,Resultados Apurados
AUT25,2025-10-12,0408,Mogadouro,Concelho,AM,9572,6454,67.43,32.56999999999999,153,2.37,121,1.87,22,0,22,Resultados Apurados
AUT25,2025-10-12,0409,Torre de Moncorvo,Concelho,AM,7638,5281,69.14,30.86,102,1.93,72,1.36,15,0,15,Resultados Apurados
AUT25,2025-10-12,0410,Vila Flor,Concelho,AM,6546,4295,65.61,34.39,97,2.26,91,2.12,15,0,15,Resultados Apurados
AUT25,2025-10-12,0411,Vimioso,Concelho,AM,5254,3192,60.75,39.25,84,2.63,72,2.26,15,0,15,Resultados Apurados
AUT25,2025-10-12,0412,Vinhais,Concelho,AM,9287,5992,64.52,35.480000000000004,109,1.82,254,4.24,27,0,27,Resultados Apurados
AUT25,2025-10-12,0501,Belmonte,Concelho,AM,5825,4038,69.32,30.680000000000007,88,2.18,61,1.51,15,0,15,Resultados Apurados
AUT25,2025-10-12,0502,Castelo Branco,Concelho,AM,47978,29424,61.33,38.67,518,1.76,374,1.27,23,0,23,Resultados Apurados
AUT25,2025-10-12,0503,Covilhã,Concelho,AM,43052,27559,64.01,35.989999999999995,622,2.26,449,1.63,26,0,26,Resultados Apurados
AUT25,2025-10-12,0504,Fundão,Concelho,AM,24871,16429,66.06,33.94,399,2.43,263,1.6,24,0,24,Resultados Apurados
AUT25,2025-10-12,0505,Idanha-a-Nova,Concelho,AM,7521,5116,68.02,31.980000000000004,110,2.15,89,1.74,15,0,15,Resultados Apurados
AUT25,2025-10-12,0506,Oleiros,Concelho,AM,4494,3364,74.86,25.14,72,2.14,37,1.1,15,0,15,Resultados Apurados
AUT25,2025-10-12,0507,Penamacor,Concelho,AM,4023,3024,75.17,24.83,57,1.88,74,2.45,15,0,15,Resultados Apurados
AUT25,2025-10-12,0508,Proença-a-Nova,Concelho,AM,6549,4454,68.01,31.989999999999995,138,3.1,88,1.98,15,0,15,Resultados Apurados
AUT25,2025-10-12,0509,Sertã,Concelho,AM,13152,9373,71.27,28.730000000000004,171,1.82,177,1.89,21,0,21,Resultados Apurados
AUT25,2025-10-12,0510,Vila de Rei,Concelho,AM,2721,2037,74.86,25.14,37,1.82,51,2.5,15,0,15,Resultados Apurados
AUT25,2025-10-12,0511,Vila Velha de Ródão,Concelho,AM,2808,1992,70.94,29.060000000000002,39,1.96,25,1.26,15,0,15,Resultados Apurados
AUT25,2025-10-12,0601,Arganil,Concelho,AM,10120,6433,63.57,36.43,170,2.64,125,1.94,21,0,21,Resultados Apurados
AUT25,2025-10-12,0602,Cantanhede,Concelho,AM,34086,19155,56.2,43.8,528,2.76,248,1.29,21,0,21,Resultados Apurados
AUT25,2025-10-12,0603,Coimbra,Concelho,AM,124033,70031,56.46,43.54,1864,2.66,723,1.03,33,0,33,Resultados Apurados
AUT25,2025-10-12,0604,Condeixa-a-Nova,Concelho,AM,14796,9663,65.31,34.69,194,2.01,97,1,21,0,21,Resultados Apurados
AUT25,2025-10-12,0605,Figueira da Foz,Concelho,AM,54479,31343,57.53,42.47,781,2.49,401,1.28,27,0,27,Resultados Apurados
AUT25,2025-10-12,0606,Góis,Concelho,AM,3415,2476,72.5,27.5,47,1.9,31,1.25,15,0,15,Resultados Apurados
AUT25,2025-10-12,0607,Lousã,Concelho,AM,15459,9466,61.23,38.77,303,3.2,136,1.44,21,0,21,Resultados Apurados
AUT25,2025-10-12,0608,Mira,Concelho,AM,12624,7759,61.46,38.54,166,2.14,85,1.1,21,0,21,Resultados Apurados
AUT25,2025-10-12,0609,Miranda do Corvo,Concelho,AM,10718,7021,65.51,34.489999999999995,154,2.19,70,1,21,0,21,Resultados Apurados
AUT25,2025-10-12,0610,Montemor-o-Velho,Concelho,AM,21634,13984,64.64,35.36,325,2.32,180,1.29,21,0,21,Resultados Apurados
AUT25,2025-10-12,0611,Oliveira do Hospital,Concelho,AM,17195,11993,69.75,30.25,228,1.9,188,1.57,21,0,21,Resultados Apurados
AUT25,2025-10-12,0612,Pampilhosa da Serra,Concelho,AM,3306,2300,69.57,30.430000000000007,49,2.13,32,1.39,15,0,15,Resultados Apurados
AUT25,2025-10-12,0613,Penacova,Concelho,AM,12755,8072,63.28,36.72,121,1.5,90,1.11,21,0,21,Resultados Apurados
AUT25,2025-10-12,0614,Penela,Concelho,AM,4688,3256,69.45,30.549999999999997,66,2.03,47,1.44,15,0,15,Resultados Apurados
AUT25,2025-10-12,0615,Soure,Concelho,AM,15714,10728,68.27,31.730000000000004,208,1.94,155,1.44,21,0,21,Resultados Apurados
AUT25,2025-10-12,0616,Tábua,Concelho,AM,10210,6964,68.21,31.790000000000006,130,1.87,117,1.68,21,0,21,Resultados Apurados
AUT25,2025-10-12,0617,Vila Nova de Poiares,Concelho,AM,6298,4153,65.94,34.06,65,1.57,52,1.25,15,0,15,Resultados Apurados
AUT25,2025-10-12,0701,Alandroal,Concelho,AM,4316,2980,69.05,30.950000000000003,45,1.51,46,1.54,15,0,15,Resultados Apurados
AUT25,2025-10-12,0702,Arraiolos,Concelho,AM,5839,4035,69.1,30.900000000000006,101,2.5,65,1.61,15,0,15,Resultados Apurados
AUT25,2025-10-12,0703,Borba,Concelho,AM,5707,3794,66.48,33.519999999999996,44,1.16,38,1,15,0,15,Resultados Apurados
AUT25,2025-10-12,0704,Estremoz,Concelho,AM,10817,6829,63.13,36.87,95,1.39,77,1.13,21,0,21,Resultados Apurados
AUT25,2025-10-12,0705,Évora,Concelho,AM,46090,27385,59.42,40.58,478,1.75,222,0.81,21,0,21,Resultados Apurados
AUT25,2025-10-12,0706,Montemor-o-Novo,Concelho,AM,13547,8905,65.73,34.269999999999996,150,1.68,64,0.72,21,0,21,Resultados Apurados
AUT25,2025-10-12,0707,Mora,Concelho,AM,3813,2613,68.53,31.47,53,2.03,33,1.26,15,0,15,Resultados Apurados
AUT25,2025-10-12,0708,Mourão,Concelho,AM,2135,1664,77.94,22.060000000000002,32,1.92,25,1.5,15,0,15,Resultados Apurados
AUT25,2025-10-12,0709,Portel,Concelho,AM,4927,3779,76.7,23.299999999999997,31,0.82,21,0.56,15,0,15,Resultados Apurados
AUT25,2025-10-12,0710,Redondo,Concelho,AM,5579,3534,63.34,36.66,78,2.21,42,1.19,15,0,15,Resultados Apurados
AUT25,2025-10-12,0711,Reguengos de Monsaraz,Concelho,AM,8736,5734,65.64,34.36,71,1.24,45,0.78,15,0,15,Resultados Apurados
AUT25,2025-10-12,0712,Vendas Novas,Concelho,AM,10037,6313,62.9,37.1,88,1.39,55,0.87,15,0,15,Resultados Apurados
AUT25,2025-10-12,0713,Viana do Alentejo,Concelho,AM,4672,3142,67.25,32.75,36,1.15,31,0.99,15,0,15,Resultados Apurados
AUT25,2025-10-12,0714,Vila Viçosa,Concelho,AM,6522,4416,67.71,32.290000000000006,63,1.43,47,1.06,15,0,15,Resultados Apurados
AUT25,2025-10-12,0801,Albufeira,Concelho,AM,37556,18257,48.61,51.39,282,1.54,172,0.94,21,0,21,Resultados Apurados
AUT25,2025-10-12,0802,Alcoutim,Concelho,AM,2286,1745,76.33,23.67,28,1.6,24,1.38,15,0,15,Resultados Apurados
AUT25,2025-10-12,0803,Aljezur,Concelho,AM,4397,2914,66.27,33.730000000000004,32,1.1,22,0.75,15,0,15,Resultados Apurados
AUT25,2025-10-12,0804,Castro Marim,Concelho,AM,5975,3797,63.55,36.45,51,1.34,40,1.05,15,0,15,Resultados Apurados
AUT25,2025-10-12,0805,Faro,Concelho,AM,57405,31793,55.38,44.62,558,1.76,345,1.09,27,0,27,Resultados Apurados
AUT25,2025-10-12,0806,Lagoa,Concelho,AM,19616,10826,55.19,44.81,173,1.6,103,0.95,21,0,21,Resultados Apurados
AUT25,2025-10-12,0807,Lagos,Concelho,AM,25058,13150,52.48,47.52,266,2.02,108,0.82,21,0,21,Resultados Apurados
AUT25,2025-10-12,0808,Loulé,Concelho,AM,63835,31049,48.64,51.36,483,1.56,309,1,27,0,27,Resultados Apurados
AUT25,2025-10-12,0809,Monchique,Concelho,AM,4444,3023,68.02,31.980000000000004,71,2.35,40,1.32,15,0,15,Resultados Apurados
AUT25,2025-10-12,0810,Olhão,Concelho,AM,38422,19980,52,48,453,2.27,432,2.16,21,0,21,Resultados Apurados
AUT25,2025-10-12,0811,Portimão,Concelho,AM,51873,26358,50.81,49.19,433,1.64,233,0.88,27,0,27,Resultados Apurados
AUT25,2025-10-12,0812,São Brás de Alportel,Concelho,AM,9593,5950,62.02,37.98,91,1.53,45,0.76,15,0,15,Resultados Apurados
AUT25,2025-10-12,0813,Silves,Concelho,AM,32139,17944,55.83,44.17,308,1.72,191,1.06,21,0,21,Resultados Apurados
AUT25,2025-10-12,0814,Tavira,Concelho,AM,22519,13167,58.47,41.53,286,2.17,148,1.12,21,0,21,Resultados Apurados
AUT25,2025-10-12,0815,Vila do Bispo,Concelho,AM,4211,2726,64.74,35.260000000000005,32,1.17,29,1.06,15,0,15,Resultados Apurados
AUT25,2025-10-12,0816,Vila Real de Santo António,Concelho,AM,17065,9610,56.31,43.69,134,1.39,116,1.21,21,0,21,Resultados Apurados
AUT25,2025-10-12,0901,Aguiar da Beira,Concelho,AM,5791,4178,72.15,27.849999999999994,61,1.46,64,1.53,15,0,15,Resultados Apurados
AUT25,2025-10-12,0902,Almeida,Concelho,AM,6207,3962,63.83,36.17,135,3.41,67,1.69,17,0,17,Resultados Apurados
AUT25,2025-10-12,0903,Celorico da Beira,Concelho,AM,7004,4763,68,32,130,2.73,94,1.97,17,0,17,Resultados Apurados
AUT25,2025-10-12,0904,Figueira de Castelo Rodrigo,Concelho,AM,5078,3677,72.41,27.590000000000003,79,2.15,84,2.28,15,0,15,Resultados Apurados
AUT25,2025-10-12,0905,Fornos de Algodres,Concelho,AM,4127,3252,78.8,21.200000000000003,48,1.48,33,1.01,15,0,15,Resultados Apurados
AUT25,2025-10-12,0906,Gouveia,Concelho,AM,11859,7667,64.65,35.349999999999994,203,2.65,110,1.43,21,0,21,Resultados Apurados
AUT25,2025-10-12,0907,Guarda,Concelho,AM,36336,24320,66.93,33.06999999999999,442,1.82,433,1.78,44,0,44,Resultados Apurados
AUT25,2025-10-12,0908,Manteigas,Concelho,AM,2908,2071,71.22,28.78,21,1.01,42,2.03,15,0,15,Resultados Apurados
AUT25,2025-10-12,0909,Mêda,Concelho,AM,4923,3225,65.51,34.489999999999995,92,2.85,83,2.57,15,0,15,Resultados Apurados
AUT25,2025-10-12,0910,Pinhel,Concelho,AM,8554,5923,69.24,30.760000000000005,155,2.62,111,1.87,19,0,19,Resultados Apurados
AUT25,2025-10-12,0911,Sabugal,Concelho,AM,11372,6693,58.86,41.14,170,2.54,119,1.78,31,0,31,Resultados Apurados
AUT25,2025-10-12,0912,Seia,Concelho,AM,20215,13256,65.58,34.42,286,2.16,215,1.62,25,0,25,Resultados Apurados
AUT25,2025-10-12,0913,Trancoso,Concelho,AM,8427,5699,67.63,32.370000000000005,140,2.46,109,1.91,22,0,22,Resultados Apurados
AUT25,2025-10-12,0914,Vila Nova de Foz Côa,Concelho,AM,6544,4301,65.72,34.28,76,1.77,62,1.44,15,0,15,Resultados Apurados
AUT25,2025-10-12,1001,Alcobaça,Concelho,AM,49027,29288,59.74,40.26,744,2.54,560,1.91,21,0,21,Resultados Apurados
AUT25,2025-10-12,1002,Alvaiázere,Concelho,AM,5775,3747,64.88,35.120000000000005,73,1.95,58,1.55,15,0,15,Resultados Apurados
AUT25,2025-10-12,1003,Ansião,Concelho,AM,11029,7468,67.71,32.290000000000006,114,1.53,81,1.08,21,0,21,Resultados Apurados
AUT25,2025-10-12,1004,Batalha,Concelho,AM,13990,8848,63.25,36.75,236,2.67,148,1.67,21,0,21,Resultados Apurados
AUT25,2025-10-12,1005,Bombarral,Concelho,AM,11604,6853,59.06,40.94,116,1.69,63,0.92,21,0,21,Resultados Apurados
AUT25,2025-10-12,1006,Caldas da Rainha,Concelho,AM,45736,25111,54.9,45.1,613,2.44,307,1.22,21,0,21,Resultados Apurados
AUT25,2025-10-12,1007,Castanheira de Pêra,Concelho,AM,2478,1821,73.49,26.510000000000005,35,1.92,25,1.37,15,0,15,Resultados Apurados
AUT25,2025-10-12,1008,Figueiró dos Vinhos,Concelho,AM,5061,3566,70.46,29.540000000000006,51,1.43,77,2.16,15,0,15,Resultados Apurados
AUT25,2025-10-12,1009,Leiria,Concelho,AM,114247,68505,59.96,40.04,1924,2.81,930,1.36,33,0,33,Resultados Apurados
AUT25,2025-10-12,1010,Marinha Grande,Concelho,AM,34169,17975,52.61,47.39,568,3.16,325,1.81,21,0,21,Resultados Apurados
AUT25,2025-10-12,1011,Nazaré,Concelho,AM,14011,7618,54.37,45.63,181,2.38,101,1.33,21,0,21,Resultados Apurados
AUT25,2025-10-12,1012,Óbidos,Concelho,AM,11175,6891,61.66,38.34,189,2.74,90,1.31,21,0,21,Resultados Apurados
AUT25,2025-10-12,1013,Pedrógão Grande,Concelho,AM,2994,2029,67.77,32.230000000000004,45,2.22,33,1.63,15,0,15,Resultados Apurados
AUT25,2025-10-12,1014,Peniche,Concelho,AM,24263,13334,54.96,45.04,309,2.32,141,1.06,21,0,21,Resultados Apurados
AUT25,2025-10-12,1015,Pombal,Concelho,AM,48201,25465,52.83,47.17,1066,4.19,503,1.98,21,0,21,Resultados Apurados
AUT25,2025-10-12,1016,Porto de Mós,Concelho,AM,20459,12659,61.87,38.13,356,2.81,193,1.52,21,0,21,Resultados Apurados
AUT25,2025-10-12,1101,Alenquer,Concelho,AM,38253,21849,57.12,42.88,549,2.51,249,1.14,21,0,21,Resultados Apurados
AUT25,2025-10-12,1102,Arruda dos Vinhos,Concelho,AM,12159,7847,64.54,35.459999999999994,143,1.82,82,1.04,21,0,21,Resultados Apurados
AUT25,2025-10-12,1103,Azambuja,Concelho,AM,17880,10557,59.04,40.96,238,2.25,170,1.61,21,0,21,Resultados Apurados
AUT25,2025-10-12,1104,Cadaval,Concelho,AM,12519,7592,60.64,39.36,165,2.17,103,1.36,21,0,21,Resultados Apurados
AUT25,2025-10-12,1105,Cascais,Concelho,AM,178529,89389,50.07,49.93,1638,1.83,767,0.86,33,0,33,Resultados Apurados
